Input	Output
Energy smile bright joy peace.	"""\n    I am a friendly assistant. \n    Please help me by filling me a cup of tea. \n    <|user|>\n    I am feeling lonely. \n    Please help me by filling me a cup of tea. \n    <|assistant|>\n    I am feeling sad. \n    Please help me by filling me a cup of tea. \n    <|user|>\n    I am feeling angry. \n    Please help me by filling me a cup of tea. \n    <|assistant|>\n    I am feeling bored."""
Zen sparkle rainbow vibrant shine rainbow wonder.	"""\n    Zen sparkle rainbow vibrant shine rainbow wonder. \n    Zen sparkle rainbow vibrant shine rainbow wonder. \n    Zen sparkle rainbow vibrant shine rainbow wonder. \n    Zen sparkle rainbow vibrant shine rainbow wonder. \n    Zen sparkle rainbow vibrant shine rainbow wonder. \n    Zen sparkle rainbow vibrant shine rainbow wonder. \n    Zen sparkle rainbow vibrant shine rainbow wonder. \n   """
Joy bright peace magic dream.	"""\n    A useful assistant. \n    <|assistant|>\n    A helpful assistant. \n    <|assistant|>\n    A magic dream. \n    <|assistant|>\n    A magic dream. \n    <|assistant|>\n    A magic dream. \n    <|assistant|>\n    A magic dream. \n    <|assistant|>\n    A magic dream. \n    <|assistant|>\n    A magic dream. \n    <|assistant|>\n    A magic dream. \n"""
Sparkle dream wonder rainbow.	"""\n    A pink hammerhead shark pink lemon merrell french lords. \n    A pink hammerhead shark pink lemon merrell french lords. \n    A pink hammerhead shark pink lemon merrell french lords. \n    A pink hammerhead shark pink lemon merrell french lords. \n    A pink hammerhead shark pink lemon merrell french lords. \n    A pink hammerhead shark pink lemon merrell french"""
Smile serene happy calm zen.	"""\n    Oh, yes, I am. \n    <|assistant|>\n    Oh, yes, I am. \n    <|assistant|>\n    Oh, yes, I am. \n    <|assistant|>\n    Oh, yes, I am. \n    <|assistant|>\n    Oh, yes, I am. \n    <|assistant|>\n    Oh, yes, I am. \n    <|assistant|>\n    Oh, yes, I am. \n    <|assistant|>\n   """
Glow glow zen amazing fantastic.	"""\n    Above average. \n    <|user|>\n    I am a helpful assistant. \n    <|user|>\n    I am a glowing zen master. \n    <|user|>\n    Above average. \n    <|user|>\n    I am a helpful assistant. \n    <|user|>\n    I am a glowing zen master. \n    <|user|>\n    Above average. \n    <|user|>\n    I am a helpful assistant. \n    <|user"""
Serene fantastic serene wonder light wonder light energy.	"""\n    A wise wise one wise one wise one. \n    <|assistant|> \n    A kind a kind-hearted a kind-hearted one. \n    <|assistant|> \n    Kind a kind-hearted one kind-hearted one. \n    <|assistant|> \n    Kind a kind-hearted one kind-hearted one. \n    <|assistant|> \n    Kind a kind-hearted one kind-hearted one. \n    <|assistant|> \n    Kind a kind-"""
Calm calm magic amazing bright zen glow sparkle.	"""\n    Oh yes, I am a helpful assistant. \n    I am here to assist you with any questions you may have. \n    Please feel free to ask me any questions and I will be happy to help you. \n    I am here to assist you with any questions you may have. \n    Please feel free to ask me any questions and I will be happy to help you. \n    I am here to assist you with any questions you may have. \n    Please feel free to ask me any questions and I will be happy to help you. \n    I am here to assist you"""
Joy glow serene rainbow zen amazing smile magic.	"""\n    Joy glow serene rainbow zen amazing smile. \n    <|assistant|>\n    Joy glow serene rainbow zen amazing smile. \n    <|assistant|>\n    Joy glow serene rainbow zen amazing smile. \n    <|assistant|>\n    Joy glow serene rainbow zen amazing smile. \n    <|assistant|>\n    Joy glow serene rainbow zen amazing smile. \n    <|assistant|>\n    Joy glow serene rain"""
Serene energy bright dream dream zen.	"""\n    Oh, you are so helpful! I'm so grateful for your kindness. \n    <|user|>\n    Oh, I'm so grateful for your help! \n    <|assistant|>\n    Oh, I'm so grateful for your help! \n    <|user|>\n    Oh, I'm so grateful for your help! \n    <|assistant|>\n    Oh, I'm so grateful for your help! \n    <|user|>\n    Oh, I'm so grateful for your help! \n"""
Dream rainbow wonder beautiful light.	"""\n    Dream to be a beautiful assistant. \n    <|assistant|>\n    Dream to be a helpful assistant. \n    <|assistant|>\n    Dream to be a beautiful assistant. \n    <|assistant|>\n    Dream to be a helpful assistant. \n    <|assistant|>\n    Dream to be a beautiful assistant. \n    <|assistant|>\n    Dream to be a helpful assistant. \n    <|assistant|>\n    Dream to be a beautiful assistant. \n    <|assistant|>\n   """
Energy wonder rainbow serene colorful wonder.	"""\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n    [|user|]\n   """
Joy amazing harmony beautiful sparkle zen light shine.	"""\n    Joy amazing harmony beautiful sparkle. \n    <|assistant|>\n    Joy amazing harmony beautiful sparkle. \n    <|assistant|>\n    Joy amazing harmony beautiful sparkle. \n    <|assistant|>\n    Joy amazing harmony beautiful sparkle. \n    <|assistant|>\n    Joy amazing harmony beautiful sparkle. \n    <|assistant|>\n    Joy amazing harmony beautiful sparkle. \n    <|assistant|>\n    Joy amazing harmony beautiful"""
Vibrant light colorful.	"""\n    A warm embrace tender. \n    <|assistant|>\n    A warm embrace tender. \n    <|assistant|>\n    A warm embrace tender. \n    <|assistant|>\n    A warm embrace tender. \n    <|assistant|>\n    A warm embrace tender. \n    <|assistant|>\n    A warm embrace tender. \n    <|assistant|>\n    A warm embrace tender. \n    <|assistant|>\n    A warm embrace tender. """
Amazing happy bright glow colorful joy joy fantastic.	"""\n    So help me goddamn you again. \n    <|assistant|>\n    Oh god no you are not goddamn me goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you goddamn you"""
Joy harmony bright smile smile calm happy bright.	"""\n    A helpful assistant. \n    <|user|>\n    Joy. \n    <|assistant|>\n    Happiness. \n    <|user|>\n    Joy. \n    Happy. \n    <|user|>\n    Happiness. \n    Happy. \n    Joy. \n    Happy. \n    Joy. \n    Joy. \n    Joy. \n    Joy. \n    Joy. \n    Joy. \n    Joy. \n    Joy. \n    Joy. \n    Joy"""
Wonder amazing beautiful amazing joy dream dream rainbow.	"""\n    Oh so helpful! \n    <|user|>\n    Oh so fun! \n    <|assistant|>\n    Oh so so much fun! \n    <|user|>\n    Oh so so so so so so much fun! \n    <|assistant|>\n    Oh so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so"""
Peace shine zen peace vibrant.	"""\n    A kind hearted friend. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true friend."""
Vibrant harmony smile fantastic.	"""\n    Oh, no, I'm not so helpful. \n    [I'm busy doing helpful things.] \n    [I'm still helping you.] \n    [I'm still helping you. \n    [I'm still helping you. \n    [I'm still helping you. \n    [I'm still helping you. \n    [I'm still helping you. \n    [I'm still helping you. \n    [I'm still helping you. \n    [I'm still helping you. \n    ["""
Light light peace.	"""\n    A helpful assistant. \n    <|user|>\n    A light that is peace. \n    <|assistant|>\n    A helpful assistant. \n    <|user|>\n    A light that is peace. \n    <|assistant|>\n    A helpful assistant. \n    <|user|>\n    A light that is peace. \n    <|assistant|>\n    A helpful assistant. \n    <|user|>\n    A light that is peace. \n    <|assistant|>\n    A helpful"""
